Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,15.25,15.25,15.25,15.25,000,15.25
2016-09-15,15.26,15.26,15.26,15.26,000,15.26
2016-09-14,15.24,15.24,15.24,15.24,000,15.24
2016-09-13,15.23,15.23,15.23,15.23,000,15.23
2016-09-12,15.31,15.31,15.31,15.31,000,15.31
2016-09-09,15.28,15.28,15.28,15.28,000,15.28
2016-09-08,15.40,15.40,15.40,15.40,000,15.40
2016-09-07,15.45,15.45,15.45,15.45,000,15.45
2016-09-06,15.44,15.44,15.44,15.44,000,15.44
2016-09-02,15.38,15.38,15.38,15.38,000,15.38
2016-09-01,15.38,15.38,15.38,15.38,000,15.38
2016-08-31,15.38,15.38,15.38,15.38,000,15.38
2016-08-30,15.39,15.39,15.39,15.39,000,15.39
2016-08-29,15.40,15.40,15.40,15.40,000,15.40
2016-08-26,15.36,15.36,15.36,15.36,000,15.36
2016-08-25,15.39,15.39,15.39,15.39,000,15.39
2016-08-24,15.40,15.40,15.40,15.40,000,15.40
2016-08-23,15.42,15.42,15.42,15.42,000,15.42
2016-08-22,15.41,15.41,15.41,15.41,000,15.41
2016-08-19,15.38,15.38,15.38,15.38,000,15.38
2016-08-18,15.42,15.42,15.42,15.42,000,15.42
2016-08-17,15.39,15.39,15.39,15.39,000,15.39
2016-08-16,15.38,15.38,15.38,15.38,000,15.38
2016-08-15,15.40,15.40,15.40,15.40,000,15.40
2016-08-12,15.41,15.41,15.41,15.41,000,15.41
2016-08-11,15.39,15.39,15.39,15.39,000,15.39
2016-08-10,15.40,15.40,15.40,15.40,000,15.40
2016-08-09,15.38,15.38,15.38,15.38,000,15.38
2016-08-08,15.34,15.34,15.34,15.34,000,15.34
2016-08-05,15.33,15.33,15.33,15.33,000,15.33
2016-08-04,15.34,15.34,15.34,15.34,000,15.34
2016-08-03,15.30,15.30,15.30,15.30,000,15.30
2016-08-02,15.30,15.30,15.30,15.30,000,15.30
2016-08-01,15.35,15.35,15.35,15.35,000,15.35
2016-07-29,15.38,15.38,15.38,15.38,000,15.38
2016-07-28,15.34,15.34,15.34,15.34,000,15.34
2016-07-27,15.33,15.33,15.33,15.33,000,15.33
2016-07-26,15.30,15.30,15.30,15.30,000,15.30
2016-07-25,15.29,15.29,15.29,15.29,000,15.29
2016-07-22,15.29,15.29,15.29,15.29,000,15.29
2016-07-21,15.29,15.29,15.29,15.29,000,15.29
2016-07-20,15.28,15.28,15.28,15.28,000,15.28
2016-07-19,15.28,15.28,15.28,15.28,000,15.28
2016-07-18,15.28,15.28,15.28,15.28,000,15.28
2016-07-15,15.27,15.27,15.27,15.27,000,15.27
2016-07-14,15.30,15.30,15.30,15.30,000,15.30
2016-07-13,15.31,15.31,15.31,15.31,000,15.31
2016-07-12,15.29,15.29,15.29,15.29,000,15.29
2016-07-11,15.29,15.29,15.29,15.29,000,15.29
2016-07-08,15.29,15.29,15.29,15.29,000,15.29
2016-07-07,15.22,15.22,15.22,15.22,000,15.22
