Date,Open,High,Low,Close,Volume,Adj Close
2016-09-13,11.65,11.65,11.65,11.65,000,11.65
2016-09-12,11.67,11.67,11.67,11.67,000,11.67
2016-09-09,11.69,11.69,11.69,11.69,000,11.69
2016-09-08,11.71,11.71,11.71,11.71,000,11.71
2016-09-07,11.72,11.72,11.72,11.72,000,11.72
2016-09-06,11.72,11.72,11.72,11.72,000,11.72
2016-09-02,11.72,11.72,11.72,11.72,000,11.72
2016-09-01,11.73,11.73,11.73,11.73,000,11.73
2016-08-31,11.73,11.73,11.73,11.73,000,11.73
2016-08-30,11.73,11.73,11.73,11.73,000,11.695999
2016-08-29,11.73,11.73,11.73,11.73,000,11.695999
2016-08-26,11.73,11.73,11.73,11.73,000,11.695999
2016-08-25,11.73,11.73,11.73,11.73,000,11.695999
2016-08-24,11.74,11.74,11.74,11.74,000,11.705971
2016-08-23,11.73,11.73,11.73,11.73,000,11.695999
2016-08-22,11.73,11.73,11.73,11.73,000,11.695999
2016-08-19,11.73,11.73,11.73,11.73,000,11.695999
2016-08-18,11.73,11.73,11.73,11.73,000,11.695999
2016-08-17,11.72,11.72,11.72,11.72,000,11.686029
2016-08-16,11.72,11.72,11.72,11.72,000,11.686029
2016-08-15,11.72,11.72,11.72,11.72,000,11.686029
2016-08-12,11.72,11.72,11.72,11.72,000,11.686029
2016-08-11,11.71,11.71,11.71,11.71,000,11.676058
2016-08-10,11.71,11.71,11.71,11.71,000,11.676058
2016-08-09,11.70,11.70,11.70,11.70,000,11.666086
2016-08-08,11.69,11.69,11.69,11.69,000,11.656115
2016-08-05,11.70,11.70,11.70,11.70,000,11.666086
2016-08-04,11.71,11.71,11.71,11.71,000,11.676058
2016-08-03,11.70,11.70,11.70,11.70,000,11.666086
2016-08-02,11.70,11.70,11.70,11.70,000,11.666086
2016-08-01,11.72,11.72,11.72,11.72,000,11.686029
2016-07-29,11.72,11.72,11.72,11.72,000,11.686029
2016-07-28,11.72,11.72,11.72,11.72,000,11.651131
