Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,12.47,12.47,12.47,12.47,000,12.47
2016-09-15,12.47,12.47,12.47,12.47,000,12.47
2016-09-14,12.49,12.49,12.49,12.49,000,12.49
2016-09-13,12.49,12.49,12.49,12.49,000,12.49
2016-09-12,12.52,12.52,12.52,12.52,000,12.52
2016-09-09,12.54,12.54,12.54,12.54,000,12.54
2016-09-08,12.57,12.57,12.57,12.57,000,12.57
2016-09-07,12.58,12.58,12.58,12.58,000,12.58
2016-09-06,12.58,12.58,12.58,12.58,000,12.58
2016-09-02,12.58,12.58,12.58,12.58,000,12.58
2016-09-01,12.59,12.59,12.59,12.59,000,12.59
2016-08-31,12.60,12.60,12.60,12.60,000,12.60
2016-08-30,12.60,12.60,12.60,12.60,000,12.566
2016-08-29,12.60,12.60,12.60,12.60,000,12.566
2016-08-26,12.60,12.60,12.60,12.60,000,12.566
2016-08-25,12.60,12.60,12.60,12.60,000,12.566
2016-08-24,12.60,12.60,12.60,12.60,000,12.566
2016-08-23,12.60,12.60,12.60,12.60,000,12.566
2016-08-22,12.60,12.60,12.60,12.60,000,12.566
2016-08-19,12.60,12.60,12.60,12.60,000,12.566
2016-08-18,12.60,12.60,12.60,12.60,000,12.566
2016-08-17,12.59,12.59,12.59,12.59,000,12.556027
2016-08-16,12.58,12.58,12.58,12.58,000,12.546054
2016-08-15,12.59,12.59,12.59,12.59,000,12.556027
2016-08-12,12.59,12.59,12.59,12.59,000,12.556027
2016-08-11,12.57,12.57,12.57,12.57,000,12.536081
2016-08-10,12.58,12.58,12.58,12.58,000,12.546054
2016-08-09,12.56,12.56,12.56,12.56,000,12.526108
2016-08-08,12.55,12.55,12.55,12.55,000,12.516135
2016-08-05,12.56,12.56,12.56,12.56,000,12.526108
2016-08-04,12.58,12.58,12.58,12.58,000,12.546054
2016-08-03,12.56,12.56,12.56,12.56,000,12.526108
2016-08-02,12.56,12.56,12.56,12.56,000,12.526108
2016-08-01,12.58,12.58,12.58,12.58,000,12.546054
2016-07-29,12.59,12.59,12.59,12.59,000,12.556027
2016-07-28,12.59,12.59,12.59,12.59,000,12.522119
2016-07-27,12.58,12.58,12.58,12.58,000,12.512173
2016-07-26,12.57,12.57,12.57,12.57,000,12.502227
2016-07-25,12.56,12.56,12.56,12.56,000,12.492281
2016-07-22,12.57,12.57,12.57,12.57,000,12.502227
2016-07-21,12.57,12.57,12.57,12.57,000,12.502227
2016-07-20,12.58,12.58,12.58,12.58,000,12.512173
2016-07-19,12.58,12.58,12.58,12.58,000,12.512173
2016-07-18,12.58,12.58,12.58,12.58,000,12.512173
2016-07-15,12.59,12.59,12.59,12.59,000,12.522119
2016-07-14,12.62,12.62,12.62,12.62,000,12.551957
2016-07-13,12.65,12.65,12.65,12.65,000,12.581795
2016-07-12,12.64,12.64,12.64,12.64,000,12.57185
2016-07-11,12.68,12.68,12.68,12.68,000,12.611634
2016-07-08,12.69,12.69,12.69,12.69,000,12.621579
2016-07-07,12.69,12.69,12.69,12.69,000,12.621579
2016-07-06,12.70,12.70,12.70,12.70,000,12.631526
2016-07-05,12.70,12.70,12.70,12.70,000,12.631526
2016-07-01,12.67,12.67,12.67,12.67,000,12.601688
2016-06-30,12.66,12.66,12.66,12.66,000,12.591741
2016-06-29,12.66,12.66,12.66,12.66,000,12.557924
2016-06-28,12.66,12.66,12.66,12.66,000,12.557924
2016-06-27,12.68,12.68,12.68,12.68,000,12.577763
2016-06-24,12.64,12.64,12.64,12.64,000,12.538086
2016-06-23,12.54,12.54,12.54,12.54,000,12.438892
